日期	農曆	天干	地支	月天干地支	節氣	八字流年	八字流月	紫微流月	流日命宮地支	流日四化
2025-08-31	七月初九	壬	申	甲申	處暑	乙巳	甲申	七月	亥	梁紫左武
2025-09-01	七月初十	癸	酉	甲申	處暑	乙巳	甲申	七月	子	破巨陰貪
2025-09-02	七月十一	甲	戌	甲申	處暑	乙巳	甲申	七月	丑	廉破武陽
2025-09-03	七月十二	乙	亥	甲申	處暑	乙巳	甲申	七月	寅	機梁紫陰
2025-09-04	七月十三	丙	子	甲申	處暑	乙巳	甲申	七月	卯	同機昌廉
2025-09-05	七月十四	丁	丑	甲申	處暑	乙巳	甲申	七月	辰	陰同機巨
2025-09-06	七月十五	戊	寅	甲申	處暑	乙巳	甲申	七月	巳	貪陰右機
2025-09-07	七月十六	己	卯	甲申	白露	乙巳	甲申	七月	午	武貪梁曲
2025-09-08	七月十七	庚	辰	乙酉	白露	乙巳	乙酉	七月	未	陽武陰同
2025-09-09	七月十八	辛	巳	乙酉	白露	乙巳	乙酉	七月	申	巨陽曲昌
2025-09-10	七月十九	壬	午	乙酉	白露	乙巳	乙酉	七月	酉	梁紫左武
2025-09-11	七月二十	癸	未	乙酉	白露	乙巳	乙酉	七月	戌	破巨陰貪
2025-09-12	七月廿一	甲	申	乙酉	白露	乙巳	乙酉	七月	亥	廉破武陽
2025-09-13	七月廿二	乙	酉	乙酉	白露	乙巳	乙酉	七月	子	機梁紫陰
2025-09-14	七月廿三	丙	戌	乙酉	白露	乙巳	乙酉	七月	丑	同機昌廉
2025-09-15	七月廿四	丁	亥	乙酉	白露	乙巳	乙酉	七月	寅	陰同機巨
2025-09-16	七月廿五	戊	子	乙酉	白露	乙巳	乙酉	七月	卯	貪陰右機
2025-09-17	七月廿六	己	丑	乙酉	白露	乙巳	乙酉	七月	辰	武貪梁曲
2025-09-18	七月廿七	庚	寅	乙酉	白露	乙巳	乙酉	七月	巳	陽武陰同
2025-09-19	七月廿八	辛	卯	乙酉	白露	乙巳	乙酉	七月	午	巨陽曲昌
2025-09-20	七月廿九	壬	辰	乙酉	白露	乙巳	乙酉	七月	未	梁紫左武
2025-09-21	七月三十	癸	巳	乙酉	白露	乙巳	乙酉	七月	申	破巨陰貪
2025-09-22	八月初一	甲	午	乙酉	白露	乙巳	乙酉	八月	辰	廉破武陽
2025-09-23	八月初二	乙	未	乙酉	秋分	乙巳	乙酉	八月	巳	機梁紫陰
2025-09-24	八月初三	丙	申	乙酉	秋分	乙巳	乙酉	八月	午	同機昌廉
2025-09-25	八月初四	丁	酉	乙酉	秋分	乙巳	乙酉	八月	未	陰同機巨
2025-09-26	八月初五	戊	戌	乙酉	秋分	乙巳	乙酉	八月	申	貪陰右機
2025-09-27	八月初六	己	亥	乙酉	秋分	乙巳	乙酉	八月	酉	武貪梁曲
2025-09-28	八月初七	庚	子	乙酉	秋分	乙巳	乙酉	八月	戌	陽武陰同
2025-09-29	八月初八	辛	丑	乙酉	秋分	乙巳	乙酉	八月	亥	巨陽曲昌
2025-09-30	八月初九	壬	寅	乙酉	秋分	乙巳	乙酉	八月	子	梁紫左武
2025-10-01	八月初十	癸	卯	乙酉	秋分	乙巳	乙酉	八月	丑	破巨陰貪
2025-10-02	八月十一	甲	辰	乙酉	秋分	乙巳	乙酉	八月	寅	廉破武陽
2025-10-03	八月十二	乙	巳	乙酉	秋分	乙巳	乙酉	八月	卯	機梁紫陰
2025-10-04	八月十三	丙	午	乙酉	秋分	乙巳	乙酉	八月	辰	同機昌廉
2025-10-05	八月十四	丁	未	乙酉	秋分	乙巳	乙酉	八月	巳	陰同機巨
2025-10-06	八月十五	戊	申	乙酉	秋分	乙巳	乙酉	八月	午	貪陰右機
2025-10-07	八月十六	己	酉	乙酉	秋分	乙巳	乙酉	八月	未	武貪梁曲
2025-10-08	八月十七	庚	戌	丙戌	寒露	乙巳	丙戌	八月	申	陽武陰同
2025-10-09	八月十八	辛	亥	丙戌	寒露	乙巳	丙戌	八月	酉	巨陽曲昌
2025-10-10	八月十九	壬	子	丙戌	寒露	乙巳	丙戌	八月	戌	梁紫左武
2025-10-11	八月二十	癸	丑	丙戌	寒露	乙巳	丙戌	八月	亥	破巨陰貪
2025-10-12	八月廿一	甲	寅	丙戌	寒露	乙巳	丙戌	八月	子	廉破武陽
2025-10-13	八月廿二	乙	卯	丙戌	寒露	乙巳	丙戌	八月	丑	機梁紫陰
2025-10-14	八月廿三	丙	辰	丙戌	寒露	乙巳	丙戌	八月	寅	同機昌廉
2025-10-15	八月廿四	丁	巳	丙戌	寒露	乙巳	丙戌	八月	卯	陰同機巨
2025-10-16	八月廿五	戊	午	丙戌	寒露	乙巳	丙戌	八月	辰	貪陰右機
2025-10-17	八月廿六	己	未	丙戌	寒露	乙巳	丙戌	八月	巳	武貪梁曲
2025-10-18	八月廿七	庚	申	丙戌	寒露	乙巳	丙戌	八月	午	陽武陰同
2025-10-19	八月廿八	辛	酉	丙戌	寒露	乙巳	丙戌	八月	未	巨陽曲昌
2025-10-20	八月廿九	壬	戌	丙戌	寒露	乙巳	丙戌	八月	申	梁紫左武
2025-10-21	九月初一	癸	亥	丙戌	寒露	乙巳	丙戌	九月	巳	破巨陰貪
2025-10-22	九月初二	甲	子	丙戌	寒露	乙巳	丙戌	九月	午	廉破武陽
2025-10-23	九月初三	乙	丑	丙戌	霜降	乙巳	丙戌	九月	未	機梁紫陰
2025-10-24	九月初四	丙	寅	丙戌	霜降	乙巳	丙戌	九月	申	同機昌廉
2025-10-25	九月初五	丁	卯	丙戌	霜降	乙巳	丙戌	九月	酉	陰同機巨
2025-10-26	九月初六	戊	辰	丙戌	霜降	乙巳	丙戌	九月	戌	貪陰右機
2025-10-27	九月初七	己	巳	丙戌	霜降	乙巳	丙戌	九月	亥	武貪梁曲
2025-10-28	九月初八	庚	午	丙戌	霜降	乙巳	丙戌	九月	子	陽武陰同
2025-10-29	九月初九	辛	未	丙戌	霜降	乙巳	丙戌	九月	丑	巨陽曲昌
2025-10-30	九月初十	壬	申	丙戌	霜降	乙巳	丙戌	九月	寅	梁紫左武
2025-10-31	九月十一	癸	酉	丙戌	霜降	乙巳	丙戌	九月	卯	破巨陰貪
2025-11-01	九月十二	甲	戌	丙戌	霜降	乙巳	丙戌	九月	辰	廉破武陽
2025-11-02	九月十三	乙	亥	丙戌	霜降	乙巳	丙戌	九月	巳	機梁紫陰
2025-11-03	九月十四	丙	子	丙戌	霜降	乙巳	丙戌	九月	午	同機昌廉
2025-11-04	九月十五	丁	丑	丙戌	霜降	乙巳	丙戌	九月	未	陰同機巨
2025-11-05	九月十六	戊	寅	丙戌	霜降	乙巳	丙戌	九月	申	貪陰右機
2025-11-06	九月十七	己	卯	丙戌	霜降	乙巳	丙戌	九月	酉	武貪梁曲
2025-11-07	九月十八	庚	辰	丁亥	立冬	乙巳	丁亥	九月	戌	陽武陰同
2025-11-08	九月十九	辛	巳	丁亥	立冬	乙巳	丁亥	九月	亥	巨陽曲昌
2025-11-09	九月二十	壬	午	丁亥	立冬	乙巳	丁亥	九月	子	梁紫左武
2025-11-10	九月廿一	癸	未	丁亥	立冬	乙巳	丁亥	九月	丑	破巨陰貪
2025-11-11	九月廿二	甲	申	丁亥	立冬	乙巳	丁亥	九月	寅	廉破武陽
2025-11-12	九月廿三	乙	酉	丁亥	立冬	乙巳	丁亥	九月	卯	機梁紫陰
2025-11-13	九月廿四	丙	戌	丁亥	立冬	乙巳	丁亥	九月	辰	同機昌廉
2025-11-14	九月廿五	丁	亥	丁亥	立冬	乙巳	丁亥	九月	巳	陰同機巨
2025-11-15	九月廿六	戊	子	丁亥	立冬	乙巳	丁亥	九月	午	貪陰右機
2025-11-16	九月廿七	己	丑	丁亥	立冬	乙巳	丁亥	九月	未	武貪梁曲
2025-11-17	九月廿八	庚	寅	丁亥	立冬	乙巳	丁亥	九月	申	陽武陰同
2025-11-18	九月廿九	辛	卯	丁亥	立冬	乙巳	丁亥	九月	酉	巨陽曲昌
2025-11-19	九月三十	壬	辰	丁亥	立冬	乙巳	丁亥	九月	戌	梁紫左武
2025-11-20	十月初一	癸	巳	丁亥	立冬	乙巳	丁亥	十月	午	破巨陰貪
2025-11-21	十月初二	甲	午	丁亥	立冬	乙巳	丁亥	十月	未	廉破武陽
2025-11-22	十月初三	乙	未	丁亥	小雪	乙巳	丁亥	十月	申	機梁紫陰
2025-11-23	十月初四	丙	申	丁亥	小雪	乙巳	丁亥	十月	酉	同機昌廉
2025-11-24	十月初五	丁	酉	丁亥	小雪	乙巳	丁亥	十月	戌	陰同機巨
2025-11-25	十月初六	戊	戌	丁亥	小雪	乙巳	丁亥	十月	亥	貪陰右機
2025-11-26	十月初七	己	亥	丁亥	小雪	乙巳	丁亥	十月	子	武貪梁曲
2025-11-27	十月初八	庚	子	丁亥	小雪	乙巳	丁亥	十月	丑	陽武陰同
2025-11-28	十月初九	辛	丑	丁亥	小雪	乙巳	丁亥	十月	寅	巨陽曲昌
2025-11-29	十月初十	壬	寅	丁亥	小雪	乙巳	丁亥	十月	卯	梁紫左武
2025-11-30	十月十一	癸	卯	丁亥	小雪	乙巳	丁亥	十月	辰	破巨陰貪
2025-12-01	十月十二	甲	辰	丁亥	小雪	乙巳	丁亥	十月	巳	廉破武陽
2025-12-02	十月十三	乙	巳	丁亥	小雪	乙巳	丁亥	十月	午	機梁紫陰
2025-12-03	十月十四	丙	午	丁亥	小雪	乙巳	丁亥	十月	未	同機昌廉
2025-12-04	十月十五	丁	未	丁亥	小雪	乙巳	丁亥	十月	申	陰同機巨
2025-12-05	十月十六	戊	申	丁亥	小雪	乙巳	丁亥	十月	酉	貪陰右機
2025-12-06	十月十七	己	酉	丁亥	小雪	乙巳	丁亥	十月	戌	武貪梁曲
2025-12-07	十月十八	庚	戌	丁亥	大雪	乙巳	丁亥	十月	亥	陽武陰同
2025-12-08	十月十九	辛	亥	戊子	大雪	乙巳	戊子	十月	子	巨陽曲昌
2025-12-09	十月二十	壬	子	戊子	大雪	乙巳	戊子	十月	丑	梁紫左武
2025-12-10	十月廿一	癸	丑	戊子	大雪	乙巳	戊子	十月	寅	破巨陰貪
2025-12-11	十月廿二	甲	寅	戊子	大雪	乙巳	戊子	十月	卯	廉破武陽
2025-12-12	十月廿三	乙	卯	戊子	大雪	乙巳	戊子	十月	辰	機梁紫陰
2025-12-13	十月廿四	丙	辰	戊子	大雪	乙巳	戊子	十月	巳	同機昌廉
2025-12-14	十月廿五	丁	巳	戊子	大雪	乙巳	戊子	十月	午	陰同機巨
2025-12-15	十月廿六	戊	午	戊子	大雪	乙巳	戊子	十月	未	貪陰右機
2025-12-16	十月廿七	己	未	戊子	大雪	乙巳	戊子	十月	申	武貪梁曲
2025-12-17	十月廿八	庚	申	戊子	大雪	乙巳	戊子	十月	酉	陽武陰同
2025-12-18	十月廿九	辛	酉	戊子	大雪	乙巳	戊子	十月	戌	巨陽曲昌
2025-12-19	十月三十	壬	戌	戊子	大雪	乙巳	戊子	十月	亥	梁紫左武
2025-12-20	十一月初一	癸	亥	戊子	大雪	乙巳	戊子	冬月	未	破巨陰貪
2025-12-21	十一月初二	甲	子	戊子	大雪	乙巳	戊子	冬月	申	廉破武陽
2025-12-22	十一月初三	乙	丑	戊子	冬至	乙巳	戊子	冬月	酉	機梁紫陰
2025-12-23	十一月初四	丙	寅	戊子	冬至	乙巳	戊子	冬月	戌	同機昌廉
2025-12-24	十一月初五	丁	卯	戊子	冬至	乙巳	戊子	冬月	亥	陰同機巨
2025-12-25	十一月初六	戊	辰	戊子	冬至	乙巳	戊子	冬月	子	貪陰右機
2025-12-26	十一月初七	己	巳	戊子	冬至	乙巳	戊子	冬月	丑	武貪梁曲
2025-12-27	十一月初八	庚	午	戊子	冬至	乙巳	戊子	冬月	寅	陽武陰同
2025-12-28	十一月初九	辛	未	戊子	冬至	乙巳	戊子	冬月	卯	巨陽曲昌
2025-12-29	十一月初十	壬	申	戊子	冬至	乙巳	戊子	冬月	辰	梁紫左武
2025-12-30	十一月十一	癸	酉	戊子	冬至	乙巳	戊子	冬月	巳	破巨陰貪
2025-12-31	十一月十二	甲	戌	戊子	冬至	乙巳	戊子	冬月	午	廉破武陽
2026-01-01	十一月十三	乙	亥	戊子	小寒	乙巳	戊子	冬月	未	機梁紫陰
2026-01-02	十一月十四	丙	子	戊子	小寒	乙巳	戊子	冬月	申	同機昌廉
2026-01-03	十一月十五	丁	丑	戊子	小寒	乙巳	戊子	冬月	酉	陰同機巨
2026-01-04	十一月十六	戊	寅	戊子	小寒	乙巳	戊子	冬月	戌	貪陰右機
2026-01-05	十一月十七	己	卯	戊子	小寒	乙巳	戊子	冬月	亥	武貪梁曲
2026-01-06	十一月十八	庚	辰	己丑	小寒	乙巳	己丑	冬月	子	陽武陰同
2026-01-07	十一月十九	辛	巳	己丑	小寒	乙巳	己丑	冬月	丑	巨陽曲昌
2026-01-08	十一月二十	壬	午	己丑	小寒	乙巳	己丑	冬月	寅	梁紫左武
2026-01-09	十一月廿一	癸	未	己丑	小寒	乙巳	己丑	冬月	卯	破巨陰貪
2026-01-10	十一月廿二	甲	申	己丑	小寒	乙巳	己丑	冬月	辰	廉破武陽
2026-01-11	十一月廿三	乙	酉	己丑	小寒	乙巳	己丑	冬月	巳	機梁紫陰
2026-01-12	十一月廿四	丙	戌	己丑	小寒	乙巳	己丑	冬月	午	同機昌廉
2026-01-13	十一月廿五	丁	亥	己丑	小寒	乙巳	己丑	冬月	未	陰同機巨
2026-01-14	十一月廿六	戊	子	己丑	小寒	乙巳	己丑	冬月	申	貪陰右機
2026-01-15	十一月廿七	己	丑	己丑	小寒	乙巳	己丑	冬月	酉	武貪梁曲
2026-01-16	十一月廿八	庚	寅	己丑	小寒	乙巳	己丑	冬月	戌	陽武陰同
2026-01-17	十一月廿九	辛	卯	己丑	小寒	乙巳	己丑	冬月	亥	巨陽曲昌
2026-01-18	十一月三十	壬	辰	己丑	小寒	乙巳	己丑	冬月	子	梁紫左武
2026-01-19	十二月初一	癸	巳	己丑	小寒	乙巳	己丑	臘月	申	破巨陰貪
2026-01-20	十二月初二	甲	午	己丑	大寒	乙巳	己丑	臘月	酉	廉破武陽
2026-01-21	十二月初三	乙	未	己丑	大寒	乙巳	己丑	臘月	戌	機梁紫陰
2026-01-22	十二月初四	丙	申	己丑	大寒	乙巳	己丑	臘月	亥	同機昌廉
2026-01-23	十二月初五	丁	酉	己丑	大寒	乙巳	己丑	臘月	子	陰同機巨
2026-01-24	十二月初六	戊	戌	己丑	大寒	乙巳	己丑	臘月	丑	貪陰右機
2026-01-25	十二月初七	己	亥	己丑	大寒	乙巳	己丑	臘月	寅	武貪梁曲
2026-01-26	十二月初八	庚	子	己丑	大寒	乙巳	己丑	臘月	卯	陽武陰同
2026-01-27	十二月初九	辛	丑	己丑	大寒	乙巳	己丑	臘月	辰	巨陽曲昌
2026-01-28	十二月初十	壬	寅	己丑	大寒	乙巳	己丑	臘月	巳	梁紫左武
2026-01-29	十二月十一	癸	卯	己丑	大寒	乙巳	己丑	臘月	午	破巨陰貪
2026-01-30	十二月十二	甲	辰	己丑	大寒	乙巳	己丑	臘月	未	廉破武陽
2026-01-31	十二月十三	乙	巳	己丑	大寒	乙巳	己丑	臘月	申	機梁紫陰
2026-02-01	十二月十四	丙	午	己丑	大寒	乙巳	己丑	臘月	酉	同機昌廉
2026-02-02	十二月十五	丁	未	己丑	大寒	乙巳	己丑	臘月	戌	陰同機巨
2026-02-03	十二月十六	戊	申	己丑	大寒	乙巳	己丑	臘月	亥	貪陰右機
2026-02-04	十二月十七	己	酉	庚寅	立春	丙午	庚寅	臘月	子	武貪梁曲
2026-02-05	十二月十八	庚	戌	庚寅	立春	丙午	庚寅	臘月	丑	陽武陰同
2026-02-06	十二月十九	辛	亥	庚寅	立春	丙午	庚寅	臘月	寅	巨陽曲昌
2026-02-07	十二月二十	壬	子	庚寅	立春	丙午	庚寅	臘月	卯	梁紫左武
2026-02-08	十二月廿一	癸	丑	庚寅	立春	丙午	庚寅	臘月	辰	破巨陰貪
2026-02-09	十二月廿二	甲	寅	庚寅	立春	丙午	庚寅	臘月	巳	廉破武陽
2026-02-10	十二月廿三	乙	卯	庚寅	立春	丙午	庚寅	臘月	午	機梁紫陰
2026-02-11	十二月廿四	丙	辰	庚寅	立春	丙午	庚寅	臘月	未	同機昌廉
2026-02-12	十二月廿五	丁	巳	庚寅	立春	丙午	庚寅	臘月	申	陰同機巨
2026-02-13	十二月廿六	戊	午	庚寅	立春	丙午	庚寅	臘月	酉	貪陰右機
2026-02-14	十二月廿七	己	未	庚寅	立春	丙午	庚寅	臘月	戌	武貪梁曲
2026-02-15	十二月廿八	庚	申	庚寅	立春	丙午	庚寅	臘月	亥	陽武陰同
2026-02-16	十二月廿九	辛	酉	庚寅	立春	丙午	庚寅	臘月	子	巨陽曲昌
2026-02-17	正月初一	壬	戌	庚寅	立春	丙午	庚寅	正月	酉	梁紫左武
2026-02-18	正月初二	癸	亥	庚寅	雨水	丙午	庚寅	正月	戌	破巨陰貪
2026-02-19	正月初三	甲	子	庚寅	雨水	丙午	庚寅	正月	亥	廉破武陽
2026-02-20	正月初四	乙	丑	庚寅	雨水	丙午	庚寅	正月	子	機梁紫陰
2026-02-21	正月初五	丙	寅	庚寅	雨水	丙午	庚寅	正月	丑	同機昌廉
2026-02-22	正月初六	丁	卯	庚寅	雨水	丙午	庚寅	正月	寅	陰同機巨
2026-02-23	正月初七	戊	辰	庚寅	雨水	丙午	庚寅	正月	卯	貪陰右機
2026-02-24	正月初八	己	巳	庚寅	雨水	丙午	庚寅	正月	辰	武貪梁曲
2026-02-25	正月初九	庚	午	庚寅	雨水	丙午	庚寅	正月	巳	陽武陰同
2026-02-26	正月初十	辛	未	庚寅	雨水	丙午	庚寅	正月	午	巨陽曲昌
2026-02-27	正月十一	壬	申	庚寅	雨水	丙午	庚寅	正月	未	梁紫左武
2026-02-28	正月十二	癸	酉	庚寅	雨水	丙午	庚寅	正月	申	破巨陰貪
2026-03-01	正月十三	甲	戌	庚寅	雨水	丙午	庚寅	正月	酉	廉破武陽
2026-03-02	正月十四	乙	亥	庚寅	雨水	丙午	庚寅	正月	戌	機梁紫陰
2026-03-03	正月十五	丙	子	庚寅	雨水	丙午	庚寅	正月	亥	同機昌廉
2026-03-04	正月十六	丁	丑	庚寅	雨水	丙午	庚寅	正月	子	陰同機巨
2026-03-05	正月十七	戊	寅	庚寅	驚蟄	丙午	庚寅	正月	丑	貪陰右機
2026-03-06	正月十八	己	卯	辛卯	驚蟄	丙午	辛卯	正月	寅	武貪梁曲
2026-03-07	正月十九	庚	辰	辛卯	驚蟄	丙午	辛卯	正月	卯	陽武陰同
2026-03-08	正月二十	辛	巳	辛卯	驚蟄	丙午	辛卯	正月	辰	巨陽曲昌
2026-03-09	正月廿一	壬	午	辛卯	驚蟄	丙午	辛卯	正月	巳	梁紫左武
2026-03-10	正月廿二	癸	未	辛卯	驚蟄	丙午	辛卯	正月	午	破巨陰貪
2026-03-11	正月廿三	甲	申	辛卯	驚蟄	丙午	辛卯	正月	未	廉破武陽
2026-03-12	正月廿四	乙	酉	辛卯	驚蟄	丙午	辛卯	正月	申	機梁紫陰
2026-03-13	正月廿五	丙	戌	辛卯	驚蟄	丙午	辛卯	正月	酉	同機昌廉
2026-03-14	正月廿六	丁	亥	辛卯	驚蟄	丙午	辛卯	正月	戌	陰同機巨
2026-03-15	正月廿七	戊	子	辛卯	驚蟄	丙午	辛卯	正月	亥	貪陰右機
2026-03-16	正月廿八	己	丑	辛卯	驚蟄	丙午	辛卯	正月	子	武貪梁曲
2026-03-17	正月廿九	庚	寅	辛卯	驚蟄	丙午	辛卯	正月	丑	陽武陰同
2026-03-18	正月三十	辛	卯	辛卯	驚蟄	丙午	辛卯	正月	寅	巨陽曲昌
2026-03-19	二月初一	壬	辰	辛卯	驚蟄	丙午	辛卯	二月	戌	梁紫左武
2026-03-20	二月初二	癸	巳	辛卯	春分	丙午	辛卯	二月	亥	破巨陰貪
2026-03-21	二月初三	甲	午	辛卯	春分	丙午	辛卯	二月	子	廉破武陽
2026-03-22	二月初四	乙	未	辛卯	春分	丙午	辛卯	二月	丑	機梁紫陰
2026-03-23	二月初五	丙	申	辛卯	春分	丙午	辛卯	二月	寅	同機昌廉
2026-03-24	二月初六	丁	酉	辛卯	春分	丙午	辛卯	二月	卯	陰同機巨
2026-03-25	二月初七	戊	戌	辛卯	春分	丙午	辛卯	二月	辰	貪陰右機
2026-03-26	二月初八	己	亥	辛卯	春分	丙午	辛卯	二月	巳	武貪梁曲
2026-03-27	二月初九	庚	子	辛卯	春分	丙午	辛卯	二月	午	陽武陰同
2026-03-28	二月初十	辛	丑	辛卯	春分	丙午	辛卯	二月	未	巨陽曲昌
2026-03-29	二月十一	壬	寅	辛卯	春分	丙午	辛卯	二月	申	梁紫左武
2026-03-30	二月十二	癸	卯	辛卯	春分	丙午	辛卯	二月	酉	破巨陰貪
2026-03-31	二月十三	甲	辰	辛卯	春分	丙午	辛卯	二月	戌	廉破武陽
2026-04-01	二月十四	乙	巳	辛卯	春分	丙午	辛卯	二月	亥	機梁紫陰
2026-04-02	二月十五	丙	午	辛卯	春分	丙午	辛卯	二月	子	同機昌廉
2026-04-03	二月十六	丁	未	辛卯	春分	丙午	辛卯	二月	丑	陰同機巨
2026-04-04	二月十七	戊	申	辛卯	春分	丙午	辛卯	二月	寅	貪陰右機
2026-04-05	二月十八	己	酉	壬辰	清明	丙午	壬辰	二月	卯	武貪梁曲
2026-04-06	二月十九	庚	戌	壬辰	清明	丙午	壬辰	二月	辰	陽武陰同
2026-04-07	二月二十	辛	亥	壬辰	清明	丙午	壬辰	二月	巳	巨陽曲昌
2026-04-08	二月廿一	壬	子	壬辰	清明	丙午	壬辰	二月	午	梁紫左武
2026-04-09	二月廿二	癸	丑	壬辰	清明	丙午	壬辰	二月	未	破巨陰貪
2026-04-10	二月廿三	甲	寅	壬辰	清明	丙午	壬辰	二月	申	廉破武陽
2026-04-11	二月廿四	乙	卯	壬辰	清明	丙午	壬辰	二月	酉	機梁紫陰
2026-04-12	二月廿五	丙	辰	壬辰	清明	丙午	壬辰	二月	戌	同機昌廉
2026-04-13	二月廿六	丁	巳	壬辰	清明	丙午	壬辰	二月	亥	陰同機巨
2026-04-14	二月廿七	戊	午	壬辰	清明	丙午	壬辰	二月	子	貪陰右機
2026-04-15	二月廿八	己	未	壬辰	清明	丙午	壬辰	二月	丑	武貪梁曲
2026-04-16	二月廿九	庚	申	壬辰	清明	丙午	壬辰	二月	寅	陽武陰同
2026-04-17	三月初一	辛	酉	壬辰	清明	丙午	壬辰	三月	亥	巨陽曲昌
2026-04-18	三月初二	壬	戌	壬辰	清明	丙午	壬辰	三月	子	梁紫左武
2026-04-19	三月初三	癸	亥	壬辰	清明	丙午	壬辰	三月	丑	破巨陰貪
2026-04-20	三月初四	甲	子	壬辰	谷雨	丙午	壬辰	三月	寅	廉破武陽
2026-04-21	三月初五	乙	丑	壬辰	谷雨	丙午	壬辰	三月	卯	機梁紫陰
2026-04-22	三月初六	丙	寅	壬辰	谷雨	丙午	壬辰	三月	辰	同機昌廉
2026-04-23	三月初七	丁	卯	壬辰	谷雨	丙午	壬辰	三月	巳	陰同機巨
2026-04-24	三月初八	戊	辰	壬辰	谷雨	丙午	壬辰	三月	午	貪陰右機
2026-04-25	三月初九	己	巳	壬辰	谷雨	丙午	壬辰	三月	未	武貪梁曲
2026-04-26	三月初十	庚	午	壬辰	谷雨	丙午	壬辰	三月	申	陽武陰同
2026-04-27	三月十一	辛	未	壬辰	谷雨	丙午	壬辰	三月	酉	巨陽曲昌
2026-04-28	三月十二	壬	申	壬辰	谷雨	丙午	壬辰	三月	戌	梁紫左武
2026-04-29	三月十三	癸	酉	壬辰	谷雨	丙午	壬辰	三月	亥	破巨陰貪
2026-04-30	三月十四	甲	戌	壬辰	谷雨	丙午	壬辰	三月	子	廉破武陽
